id|job_id|job_name|run_id|action_id|status|attempts|max_attempts|last_error_code|created_at|updated_at
f0cc937c-a8b7-4134-8222-998631e96354|petpack:00ea97d1918f90f8f9756f004c1b710932eb274103a2ef29f5c7d8a588af907d|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sneeze|succeeded|1|3||2026-08-17 15:51:38.690913+00|2026-08-17 15:51:38.792274+00
82b38ccb-033d-4a98-89a1-a90b5d8f8b4f|petpack:4a24b2c6a088707f7f965c77e8d7dfc36cc31d5a7e2e1bcccea2f76fafc62690|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|idle|succeeded|1|3||2026-08-17 15:51:38.699628+00|2026-08-17 15:51:38.800769+00
8fd8b06b-0888-4a64-9c1e-b3efc0a985b1|petpack:fc1ffa36c4477e1eb9f465fe654449aa74fb80b90f044d706e5fe59837c6e22e|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|stretch|succeeded|1|3||2026-08-17 15:51:38.717235+00|2026-08-17 15:51:38.81399+00
e688e7b7-e676-4498-9452-2a21f0b15c03|petpack:f769725842131e1b9c9d9cce40a9435827708a314843c48201adbf06419864e5|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|hover-attention|succeeded|1|3||2026-08-17 15:51:38.719575+00|2026-08-17 15:51:38.823005+00
d23a5cea-f256-4293-a28e-b0cb1061030f|petpack:9326f73808e8ebbe15f54a769a0cca7f555a325cde3e3e3ee0dc69afe3104a20|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-transition|succeeded|1|3||2026-08-17 15:51:38.723597+00|2026-08-17 15:51:38.81538+00
bd1fba23-01d5-42ba-9ba0-4eb0cf9786e1|petpack:363ddf6ca9a928e83233cc0f71e451c20d9ec6b490c08d47b051320d0d9ffc50|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-loop|succeeded|1|3||2026-08-17 15:51:38.724636+00|2026-08-17 15:51:38.821208+00
bfd50d9b-6b8d-47b0-ac4f-afb9f28506aa|petpack:3ae59cc596bf63a68c2cd8811ad0ffae9d9b604df41175372b66125069134fc5|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|roll|succeeded|1|3||2026-08-17 15:51:38.724802+00|2026-08-17 15:51:38.82317+00
03c814c4-a602-4014-b7bd-8325ae5ef772|petpack:f8d64d51d85da9667ac084a4c850c740a3c335245fcb12bb2752d33affe86ab7|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sneeze|succeeded|1|3||2026-08-17 15:51:54.776051+00|2026-08-17 15:51:54.872971+00
f8a3b222-3b13-4c6e-bf66-14b9680f5c03|petpack:4cd8e6f4ce5429d3aceaf184ba294362d12c004183d68197be03e8c8a08b88ae|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-transition|succeeded|1|3||2026-08-17 15:51:54.787949+00|2026-08-17 15:51:54.884493+00
7f022fb4-49a1-4e18-9705-14ea82c568d8|petpack:e266f6ec2863e3c13dc4d7d1025ad2d61472e9ecb7de11fadee8b670148fb8c5|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|roll|succeeded|1|3||2026-08-17 15:51:54.798713+00|2026-08-17 15:51:54.899887+00
13293c32-1693-4460-a1b9-29c512cda367|petpack:defeb378df8efddbfbdb2aac3eee3c72ab5b3aedbab54762ea532f5bef0b87ef|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|idle|succeeded|1|3||2026-08-17 15:51:54.799784+00|2026-08-17 15:51:54.895667+00
97ab2c89-55c7-4792-b427-9bff45b03f4c|petpack:2f73a7fd9add76f1ae2a25ca5f79b8e75c4516d3e9ae28f81b4c8f8b4f5a5554|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|stretch|succeeded|1|3||2026-08-17 15:51:54.808641+00|2026-08-17 15:51:54.900077+00
d4d1ce63-663f-4e70-a3c6-815cfd725072|petpack:d1998e630f19f3461adea960a647753debdaa4f42c74f2bd5b68fc3129b0ea72|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-loop|succeeded|1|3||2026-08-17 15:51:54.810571+00|2026-08-17 15:51:54.901519+00
6cc0271b-e8a6-4444-bd2f-9bd6568d5216|petpack:245460f6dbb4c3d6a24b977acf8015977410433cb06cf9a3f82794fecca691a0|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|hover-attention|succeeded|1|3||2026-08-17 15:51:54.812+00|2026-08-17 15:51:54.909155+00
406ed7d0-5369-45bf-9841-66edd04a65cb|petpack:a909f537cf659f3f4d374750e4e07a47bb7f015c3c89364d84bc8cd6d812cbb9|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sneeze|succeeded|1|3||2026-08-17 15:52:10.864965+00|2026-08-17 15:52:10.971799+00
856c90ee-8a04-4222-af51-1f43d3879665|petpack:1979f359f31f09394feab3ef74b2c2170844ec00810d54d36ccfa54950856a5e|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|stretch|succeeded|1|3||2026-08-17 15:52:10.877509+00|2026-08-17 15:52:10.987733+00
59417d6e-9d96-4948-b639-89e6ff139acf|petpack:57379199abe691578fc125b6f5e18ca24fd3d3f0fb12ad789d8ea82df975bcb3|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-transition|succeeded|1|3||2026-08-17 15:52:10.900599+00|2026-08-17 15:52:11.023292+00
3534f7c6-a732-4e6e-b241-18792c1f98bd|petpack:c2f4306c8db30630bde029606b1ddb725042612ad240c1517d66ccfa5916b509|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|idle|succeeded|1|3||2026-08-17 15:52:10.910478+00|2026-08-17 15:52:11.020473+00
